NR Train,Win Number
3000,744
6000,712
9000,737
12000,731
15000,751
18000,715
21000,714
24000,745
27000,717
30000,744
33000,720
36000,726
39000,726
42000,733
45000,748
48000,720
51000,750
54000,722
57000,717
60000,746
63000,723
66000,754
69000,747
72000,735
75000,721
78000,730
81000,720
84000,715
87000,736
90000,716
93000,727
96000,758
99000,733
102000,709
105000,710
108000,745
111000,732
114000,757
117000,727
120000,729
123000,758
126000,696
129000,714
132000,727
135000,691
138000,751
141000,739
144000,740
147000,738
150000,745
